age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
90,Private,77053,High School Grad,9,Widowed,Prof-specialty,Not-in-family,White,Female,0,4356,40,United-States,<=50K
82,Private,132870,High School Grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,4356,18,United-States,<=50K
34,Private,216864,High School Grad,9,Divorced,Other-service,Unmarried,White,Female,0,3770,45,United-States,<=50K
74,State-gov,88638,Doctorate,16,Never-married,Prof-specialty,Other-relative,White,Female,0,3683,20,United-States,>50K
68,Federal-gov,422013,High School Grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,3683,40,United-States,<=50K
45,Private,172274,Doctorate,16,Divorced,Prof-specialty,Unmarried,Black,Female,0,3004,35,United-States,>50K
38,Self-employed,164526,Professional Degree,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824,45,United-States,>50K
52,Private,129177,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,0,2824,20,United-States,>50K
32,Private,136204,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,2824,55,United-States,>50K
51,Private,172175,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824,40,United-States,>50K
46,Private,45363,Professional Degree,15,Divorced,Prof-specialty,Not-in-family,White,Male,0,2824,40,United-States,>50K
45,Private,172822,High School Incomplete,7,Divorced,Transport-moving,Not-in-family,White,Male,0,2824,76,United-States,>50K
57,Private,317847,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,2824,50,United-States,>50K
22,Private,119592,Associate's degree,12,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2824,40,United-States,>50K
34,Private,203034,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,2824,50,United-States,>50K
37,Private,188774,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2824,40,United-States,>50K
29,Private,77009,High School Incomplete,7,Divorced,Sales,Not-in-family,White,Female,0,2754,42,United-States,<=50K
61,Private,29059,High School Grad,9,Divorced,Sales,Unmarried,White,Female,0,2754,25,United-States,<=50K
61,Private,135285,High School Grad,9,Married,Prof-specialty,Husband,White,Male,0,2603,32,United-States,<=50K
21,Private,34310,Associate's degree,11,Married,Craft-repair,Husband,White,Male,0,2603,40,United-States,<=50K
52,Private,198863,Professional Degree,15,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,60,United-States,>50K
51,Private,123011,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,50,United-States,>50K
60,Self-employed,205246,High School Grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,0,2559,50,United-States,>50K
63,Federal-gov,39181,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,0,2559,60,United-States,>50K
53,Private,149650,High School Grad,9,Never-married,Sales,Not-in-family,White,Male,0,2559,48,United-States,>50K
51,Private,197163,Professional Degree,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,50,United-States,>50K
37,Self-employed,137527,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,60,United-States,>50K
54,Private,161691,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,2559,40,United-States,>50K
44,Private,326232,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,0,2547,50,United-States,>50K
43,Private,115806,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,2547,40,United-States,>50K
43,Private,289669,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,2547,40,United-States,>50K
71,Private,100820,High School Grad,9,Married,Prof-specialty,Husband,White,Male,0,2489,15,United-States,<=50K
48,Private,121253,Bachelors,13,Married,Sales,Unmarried,White,Female,0,2472,70,United-States,>50K
71,Private,110380,High School Grad,9,Married,Sales,Husband,White,Male,0,2467,52,United-States,<=50K
73,Self-employed,233882,High School Grad,9,Married,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,2457,40,Vietnam,<=50K
